Site ID,Lat,Long,GenusRich,sqrtGenusRich,PAR,PHOS,SALINITY,SST.MEAN,SST.MAX,SST.MIN,SST.RANGE
62,-16,-142.25,28,5.29,44.96,0.35,36,27.49,29.06,26.7,2
63,-15.42,-144.43,2,1.41,45.1,0.35,35.88,28,29.25,26.92,2
64,-14.35,-145.13,27,5.2,45.66,0.36,35,28,29.37,27.26,1.99
65,-14.3,-144.58,17,4.12,45.97,0.36,35,28,29.35,27.2,2
66,-17.32,-149.34,67,8.19,43.08,0.28,35,27.62,29.37,26.62,2
67,-16.45,-144.15,3,1.73,44.41,0.33,36,27.76,29.26,26.7,2
68,-15,-148.1,13,3.61,44.78,0.32,35,28,29.5,27.23,2
69,-17.23,-150.37,34,5.83,43.62,0.26,35,28,29.42,26.69,2
70,-8.55,-139.32,1,1,49,0.49,35,27.02,28.76,27.2,1
71,-17.5,-144.5,120,10.95,43.8,0.31,36,27.01,29.19,26.36,2.01
75,-14.66,136.25,35,5.92,46.61,0.25,34.36,27.98,31.93,23.04,8.38
76,-12.62,141.52,1,1,46.47,0.19,34,28.08,31.07,25.92,4.63
77,-16.93,149.18,46,6.78,44.91,0.13,35,26,29.39,24.57,4.11
78,-28.35,32.45,24,4.9,38.43,0.26,35,24.09,27.89,22.14,5.34
79,-20.29,147.9,241,15.52,43.8,0.14,35,25.2,29.62,21.86,7.4
80,-9.3,147.07,127,11.27,46.63,0.17,34,27.58,30.51,25.51,4.45
81,-13.96,143.85,122,11.05,45.68,0.14,34.8,26.63,30.16,24.32,5.46
82,-20.85,148.78,113,10.63,42.96,0.16,35,25,29.03,21.31,7.16
83,-25.37,152.64,117,10.82,41.05,0.33,35,23.98,28.1,20.39,7.13
84,-22.93,150.68,173,13.15,42.79,0.23,35,24.12,28.24,20.81,6.88
85,-27.17,153.2,107,10.34,40.54,0.37,35,23.49,27.4,20.7,6.13
86,-18.95,147,152,12.33,43.73,0.13,35,26.01,29.69,22.92,6.25
87,-13.82,-171.75,84,9.17,43.41,0.25,35,29,30.19,28.11,1.77
88,-3.5,-172.5,43,6.56,49,0.45,35,28.53,29.49,28.12,1
89,-0.52,166.93,31,5.57,47.99,0.28,34,29,30.29,28.3,1.54
90,16,40,69,8.31,46.46,0.21,37,29.05,32.64,26.35,5.7
91,43.11,10.73,220,14.83,33.74,0.16,37.16,18.16,25.42,13.12,11.9
92,-13.25,40.53,61,7.81,46.39,0.15,34,27.12,30.11,25.65,4.06
93,12.3,-70,93,9.64,46.19,0.27,36,26.72,29.14,25.78,2.94
94,12.15,-68.27,91,9.54,46.46,0.27,36,27,29.27,26.35,2.21
95,-35.22,173.95,151,12.29,36.41,0.21,35,17.63,21.45,15.44,5.45
96,29.33,34.57,53,7.28,45.58,0.09,40,24,28.25,21.09,6.5
97,-14,-170.5,78,8.83,43.73,0.24,34.86,28.97,30.11,27.97,1.95
98,-18,179.37,99,9.95,40.94,0.19,34,27,29.63,25.5,3.85
99,-21.22,165.45,137,11.7,41.82,0.17,35,25.42,28.41,23.43,4.39
100,38.3,-28,173,13.15,33.95,0.08,36,18.43,23.36,15.95,7
101,39.6,-9.11,200,14.14,35.15,0.13,35,16,19.28,13.71,5.17
102,43.49,-5.06,211,14.53,29.83,0.14,35,15.67,21.3,12.27,8.65
103,46.89,-2.13,258,16.06,31.81,0.22,33.83,13.65,19.51,8.7,10.29
104,54.01,5.93,177,13.3,30.95,0.7,33.04,11,18.73,5.25,12.94
105,61.48,17.22,172,13.11,33.72,0.1,5,6.09,18.38,0.37,17.36
110,57.35,-2.13,200,14.14,28.79,0.42,34,9.28,13.87,6.36,6.95
111,60.09,-1.09,152,12.33,27.7,0.46,35,9.4,13.63,7.02,6.14
112,62.02,-6.47,119,10.91,26.24,0.61,35,7.8,11.23,6.18,4.51
116,68.8,-32.58,83,9.11,24,0.44,31.2,0,1.01,-1.81,2.2
117,68.22,-56.73,105,10.25,30.84,0.34,32,0.71,5.44,0,6.9
119,56.28,-61.04,97,9.85,30.45,0.56,30.4,0.71,6.53,-0.34,7.99
120,48.85,-54.29,134,11.58,30.74,0.39,30.06,4.74,14.49,-0.25,14.61
121,49.65,-61.65,114,10.68,33.02,0.61,30,5,15.32,-0.15,15.9
122,45.07,-66.69,149,12.21,31.37,0.65,30.83,7.74,14.65,1.76,12.33
123,44.07,-68.82,113,10.63,31.61,0.63,31.39,8.12,15.4,2.55,12.34
124,42.54,-70.52,115,10.72,31.38,0.66,31.16,9.99,19.6,3.48,15.51
125,41.57,-70.84,142,11.92,31.38,0.6,31.02,10.91,21.58,2.2,18.82
126,41.14,-71.33,102,10.1,31.72,0.57,31.37,11.8,21.69,3.97,17.15
127,40.83,-72.78,111,10.54,31.97,0.66,29.61,12.21,23.11,3.15,19.45
128,40.03,-74.26,74,8.6,32.09,0.55,30.05,12.95,23.74,3.99,19.23
129,38.84,-75.21,41,6.4,32.58,0.38,28.06,13.06,24.64,3.17,20.92
130,37.92,-75.2,29,5.39,33.57,0.26,29.96,14.51,25.63,5.4,19.71
131,36.98,-75.65,68,8.25,34.02,0.23,28.33,15.94,26.39,7.15,18.72
132,56.29,-132.88,176,13.27,27.83,0.67,28.55,7.28,13.64,3.02,10.02
133,51.19,-126.76,230,15.17,28.1,1.03,30,8.77,16.46,3.08,12.87
134,47.09,-123.38,216,14.7,30.2,1.07,25.4,10.2,15.69,4.3,10.8
135,43.79,-123.82,195,13.96,31.48,0.6,32,11,13.95,9.64,3.86
136,41.39,-124.06,161,12.69,31.94,0.7,32,11.03,13.48,10.45,2.36
138,-26.48,113.73,40,6.32,43.38,0.12,35,22.15,25.8,19.64,5.77
139,-28.74,114.34,139,11.79,42.64,0.12,35,21.22,23.9,19.77,3.53
140,-30.82,115.04,151,12.29,41.86,0.12,35,20.86,23.32,19.25,3.59
141,-32.85,115.27,227,15.07,40.66,0.14,35,19.78,22.52,18.24,3.72
142,-34.24,115.54,215,14.66,37.56,0.19,35,19.11,21.12,17.86,2.85
143,-35.01,116.75,223,14.93,35.93,0.19,35,18.84,20.7,17.49,2.95
144,-34.05,118.81,220,14.83,37.75,0.11,35,18,20.81,16.75,3.75
145,-33.51,120.8,229,15.13,38,0.11,35,18,20.49,16.6,3.2
146,-33.62,122.64,227,15.07,38.45,0.13,35,18,20.22,16.07,3.55
147,-32.96,124.52,226,15.03,38.67,0.12,35.67,18,21.34,15.81,5.06
148,-31.84,126.4,227,15.07,38,0.09,36,18,21.9,13.97,7
149,-31.35,128.5,231,15.2,39,0.07,36,18,21.12,15.13,5.5
150,-31.39,130.87,236,15.36,40.04,0.06,36,17.72,20.5,15.5,4.48
151,-32.05,133.21,255,15.97,40.11,0.06,36,17.24,20.61,15.21,4.92
152,-33.47,134.82,294,17.15,39.07,0.09,35.26,16.74,19.28,14.99,3.79
154,-34.8,136.03,318,17.83,37.95,0.11,35.74,16.97,20.58,14.62,5.34
155,-35.37,137.91,347,18.63,37.58,0.09,35.79,16.9,21.11,13.55,7.01
156,-36.92,140.31,323,17.97,36.46,0.12,35,15.08,18.82,12.69,5.38
157,-38.32,142.18,313,17.69,33.97,0.16,35,15,18.27,13.78,4.13
158,-38.29,144,318,17.83,33.94,0.13,35,15.3,19.95,12.46,6.97
159,-38.26,145.61,236,15.36,34.3,0.13,35,15.6,20.51,11.82,8.25
160,-37.91,147.28,148,12.17,34.95,0.19,35,15.59,19.8,12.53,6.86
162,-35.4,137.39,327,18.08,37.7,0.12,35.43,17,20.64,14.75,5.48
163,-40.52,146.3,225,15,34.94,0.22,35,15,18.48,12.51,5.44
164,-41.54,147.75,213,14.59,33.35,0.26,35,14.88,18.72,12.71,5.53
165,-43.54,146.59,202,14.21,29.85,0.4,35,13.09,16.39,11.83,4
166,-41.53,144.95,159,12.61,32,0.29,35,14,16.94,12.69,3.86
167,-34.32,20.2,84,9.17,38.94,0.56,35,17.94,22.02,15.43,6
168,-33.56,18.28,116,10.77,41.03,0.68,34.74,15.94,18.29,15.18,2.62
169,41.2,-70.45,118,10.86,31,0.49,31.75,10.19,19.33,3.23,15.67
170,9.1,92.44,34,5.83,42.96,0.22,32.32,28.9,30.71,28,2.01
171,8,93.22,34,5.83,42.29,0.23,32.72,28.89,30.6,28.19,1.99
173,7,93.53,36,6,41.61,0.23,33,28.99,30.68,28.41,1.89
174,22.34,120.36,91,9.54,39.17,0.14,33.38,26.75,29.82,24.03,5.27
175,43.64,142.25,133,11.53,31,0.31,33,11,21.81,2.34,19
176,38.21,135.81,445,21.1,30.23,0.21,32.43,15.92,26.09,9.29,16.36
177,54.09,7.52,129,11.36,30.74,1.06,31.2,10.97,19.3,4.06,14.66
178,-35.73,-72.59,230,15.17,38.1,0.61,33,13.1,15.27,12.25,2.54
179,18,-66,195,13.96,44.87,0.07,35,27.2,29.63,26.35,3.05
180,-14.77,-38.37,139,11.79,44.8,0.15,37,27,29.04,25.46,3
181,-2.99,40.16,147,12.12,47.78,0.21,35,27.07,29.52,25.41,3.81
182,19.1,-95.95,62,7.87,41.39,0.06,35.16,27.03,30.52,23.85,6.2
183,27.2,51.63,89,9.43,43.03,0.21,37,26.56,33.54,20.39,12.56
184,24.28,54.25,1,1,44.21,0.32,37,27.26,34.26,20.57,13.26
185,-9.42,46.37,66,8.12,47.9,0.21,34,27,29.93,24.49,4.99
186,-6,53.17,27,5.2,47,0.28,35,27.98,30.49,25.59,4.1
187,-37.83,77.52,20,4.47,32.94,0.65,35,14.9,18.84,12.65,5.73
188,11.4,92.44,65,8.06,43.38,0.21,32,28.99,30.97,27.92,2.72
189,26.05,50.31,50,7.07,43.55,0.21,37,25.98,33.83,18.08,15.2
190,21.36,90.63,67,8.19,39.04,0.25,29.12,27.03,30.32,23.25,6.64
191,15.27,95.25,40,6.32,41.8,0.19,32,28.73,30.52,27.12,3
192,-16.63,59.63,19,4.36,44.91,0.19,34,26,28.86,24.14,4.13
193,-10.3,105.4,21,4.58,46.06,0.2,33.99,27.02,29.72,25.92,3.07
194,-12.07,96.53,4,2,44.94,0.16,34,27,29.2,26.22,2.42
195,-12.11,44.18,32,5.66,46.87,0.18,34,27.84,30.24,25.79,4
196,-6.34,72.24,53,7.28,44.91,0.21,34,28,30.25,27.2,2.66
197,11.85,43.1,29,5.39,48.75,0.38,36,28.4,31.35,26.28,4.67
198,8.11,77.3,210,14.49,46.25,0.27,34,27.88,30.4,26.49,3.38
199,-6.92,110.73,155,12.45,45.61,0.3,33,29.5,31.14,28.64,2.04
200,26.52,54.82,63,7.94,43.7,0.31,37,27.04,33.13,21.72,10.8
201,29.2,48,62,7.87,42.17,0.16,37,24.15,32.66,15.88,16.28
202,9.88,72.76,65,8.06,44.26,0.27,35,28.88,30.25,27.85,2
204,3.68,101.84,56,7.48,45.5,0.36,32,31,32.75,30.34,2
205,3.03,73.06,100,10,45.92,0.21,35,29,30.83,28.36,2
206,-20.14,57.35,176,13.27,43.8,0.17,35,25.48,28.62,23.44,4.95
207,-18.4,36.3,110,10.49,44.48,0.13,34,27.06,30.72,24.33,5.77
209,25.57,56.28,42,6.48,44.55,0.38,37,27.81,32.75,22.99,9.38
210,24.3,64.51,125,11.18,44,0.56,36,26,28.81,23.8,4.55
211,26.03,51.2,11,3.32,43.86,0.23,37,26.25,33.67,19.54,13.57
212,-21.08,55.28,106,10.3,43.89,0.17,35,25.42,28.53,23.53,4.52
213,-19.75,63.5,29,5.39,43.83,0.16,34.32,25,28.11,23.28,4.03
214,22.41,38.39,46,6.78,46.04,0.12,39,27.74,31.29,24.94,6
215,-10,60,19,4.36,46.03,0.26,34,27.16,29.92,25.66,4
216,-4.5,55.5,140,11.83,46.8,0.29,35,28,30.7,25.88,4.03
217,1.32,103.87,66,8.12,40.01,0.25,32,29.46,31.37,28.05,2.91
218,5.2,48.3,101,10.05,49.44,0.29,35,26.04,29.81,23.98,5.11
220,7.49,80.17,142,11.92,46.7,0.27,34,28.1,30.64,27.5,2.55
221,-38.44,77.3,47,6.86,32.29,0.7,35,14.07,17.82,12.44,4.95
222,-7.35,39.69,165,12.85,46.68,0.2,35,27.24,30.14,25.75,3.93
223,7.99,99.18,35,5.92,43.52,0.4,31.96,30.26,32.18,29.05,2.56
226,-31.33,18.14,186,13.64,41.97,0.76,34,14.76,17.33,13.38,3.41
227,-47.7,179.08,28,5.29,29,0.71,34,9,12.15,7.66,3.97
228,-48.02,166.57,84,9.17,27.67,0.71,34,11.02,12.91,10.25,2.02
229,-50.75,166.17,91,9.54,26.76,0.9,34,8.79,10.68,7.84,2.21
230,-49.68,178.8,82,9.06,28.92,0.82,34,7.28,9.94,6.45,3
231,-52.53,169.13,73,8.54,27.23,1,34,7.49,9.45,6.86,2.01
232,24,121,136,11.66,33.52,0.17,33.33,25.86,29.62,22.61,6.57
233,-30.5,30.62,326,18.06,36.76,0.32,35,23.55,26.87,21.63,4.9
234,-16.36,11.81,47,6.86,42.73,0.79,35,19.85,23.99,16.74,6.83
235,10.2,-14,14,3.74,44.48,0.27,35,27.76,29.88,27.07,2.28
236,11.6,-15.34,13,3.61,45.89,0.35,35,27.22,29.99,25.1,4.36
237,5.42,-9.33,56,7.48,41.45,0.17,34,28.03,29.2,26.92,1.83
238,5.57,-0.66,112,10.58,45.93,0.18,34.43,26.17,28.57,23.51,4.73
239,6.18,1.32,29,5.39,44.5,0.19,34,27.11,28.95,24.54,3.98
240,6.24,2.31,15,3.87,42.25,0.19,34,27,29.07,25,3.81
241,5.37,5.31,37,6.08,40.02,0.17,33.3,27.98,29.56,26.57,2.34
242,3.36,8.9,59,7.68,38.45,0.18,30.54,27.96,29.44,26.27,2.7
244,-1.49,9.14,51,7.14,41.9,0.19,34,26.07,29.5,23.54,5.5
245,1.4,9.42,28,5.29,41,0.18,31.7,27.25,29.33,25.88,3.06
246,1,7,51,7.14,40.19,0.16,33.16,27,29.17,25.69,3
247,1.37,7.27,16,4,39.08,0.16,32.83,27,29.15,25.84,3
248,-1.24,5.37,5,2.24,43.65,0.15,34.96,26,28.99,24.09,4.39
249,67.5,-100,103,10.15,25.06,0.91,23,0.12,1.95,-1.58,3.35
263,69.34,-91.3,22,4.69,17.74,0.69,30.76,0.65,0.81,-0.69,2.07
266,64.44,-65.27,43,6.56,26.41,0.61,30.57,0.7,2.54,-0.6,3.88
267,61.39,-71.11,72,8.49,28.77,0.65,30.25,0.02,3.86,-0.48,5.33
268,64.7,-82.2,11,3.32,26.4,0.7,30.52,0.71,2.74,-0.61,4.14
269,66.52,-86.23,12,3.46,27.44,0.78,31.05,0.27,2.38,-1.42,3.8
270,59.65,-85.16,58,7.62,29,0.71,28,1,7.77,0,9
271,52.63,-80.49,33,5.74,31.38,0.52,26.15,1.96,9.44,-0.22,10.75
272,69.37,-94.86,19,4.36,23.31,0.81,19.49,0.48,1.56,-1,2.97
273,68.62,-95.88,18,4.24,23.6,0.84,19.18,0.72,1.77,-0.56,3.22
274,68.1,-97.57,35,5.92,26.93,0.58,26.23,0.16,1.7,-1.65,3.14
275,69.61,-98.46,14,3.74,21.12,0.84,23,0.64,1.1,-0.73,2.59
276,68.63,-102.91,49,7,24.47,0.97,22.45,0.7,2.22,-0.59,3.67
277,69.14,-106.17,36,6,26.47,1.11,25.47,0.41,2.09,-1.15,3.47
278,68.5,-105.72,16,4,24.47,0.86,26.77,0.11,1.7,-1.68,3.17
279,68.25,-106.9,25,5,32.21,1.11,24.79,0.08,2.43,-1.78,3.67
280,67.98,-108.82,20,4.47,27.36,1.13,23.25,0.11,4.01,-0.35,5.35
281,68.15,-112.78,26,5.1,29.25,1,24.95,0,4.94,-0.33,6.34
282,68.81,-115.09,38,6.16,26.81,0.9,25.5,0,4.16,-1.16,5.54
285,69.43,-133.05,1,1,30.18,0.25,10.46,0,5.24,-1.04,6.78
286,69.58,-139.03,2,1.41,29.93,0.23,19.11,0.06,4.51,-0.29,6
307,20.25,122,84,9.17,38.92,0.1,34,27.15,29.8,25.31,3.99
309,13.54,124.18,36,6,41.77,0.06,34,28.6,30.58,27.25,2.98
310,15.38,122.53,147,12.12,41.26,0.06,33.55,28.29,30.57,26.75,3.4
311,12.73,120.73,75,8.66,44.9,0.06,33,29,30.95,28.19,2.32
312,12.21,123.36,24,4.9,43.12,0.06,34,28.6,30.69,26.64,3.55
313,11.66,124.89,37,6.08,41.71,0.06,34,29.18,31.09,27.62,3.05
314,9.37,118.16,75,8.66,43.28,0.09,33,29.03,30.75,27.83,2.32
315,10.82,122.01,52,7.21,44.68,0.06,33,28.95,30.63,27.32,2.78
316,10.71,124.4,44,6.63,42.79,0.06,34,29.02,30.94,27.63,2.91
317,10.17,123.67,66,8.12,43.29,0.06,33.58,29.16,30.89,27.53,2.82
318,9.48,124.11,8,2.83,44.59,0.06,33.25,28.64,30.3,27.15,2.65
319,9.81,123.12,62,7.87,43,0.06,33,28.63,30.51,27.29,2.89
321,6.4,121.59,21,4.58,44.81,0.07,33,28.48,29.7,28.12,1.12
322,32.18,-64.48,196,14,37.11,0.01,36,22.99,27.85,19.56,8
323,28.3,-14.1,282,16.79,42.34,0.09,36,19.95,23,18.11,4.13
324,32.45,-17,186,13.64,39.62,0.04,36,20.01,23.81,18.08,5.04
325,30.72,-114.75,83,9.11,44.52,1.13,35,23,30.93,16.47,14.02
326,33.5,132.05,86,9.27,33.12,0.21,33.15,19.24,27.36,13.17,13.68
327,39.95,120.8,66,8.12,34.13,0.63,31,11.53,24.53,0.09,24.08
328,12.34,120.62,28,5.29,44.52,0.06,33,28.77,30.71,27.77,2.41
331,9.13,123.35,71,8.43,45.26,0.06,33,28.43,30.13,27.02,2.64
333,5.35,120.38,80,8.94,44.22,0.09,33,28.87,30.03,28.3,1.33
334,11,123.5,45,6.71,44.26,0.06,33.98,28.9,30.99,27.15,3.31
360,53.49,-10,157,12.53,28.98,0.26,35,11.42,16.18,8.26,7.37
361,-23.02,-42,68,8.25,40.74,0.24,35.26,23.36,26.44,21.77,4.15
362,-25.54,113.35,94,9.7,44.01,0.13,35,22.47,26.2,20.18,5.53
363,-32.01,115.28,204,14.28,41.24,0.13,35,20.44,23.03,18.72,3.77
364,28.12,-177.24,70,8.37,40,0.12,35,23.02,27.45,19.94,7
365,25.69,-169.83,124,11.14,41.95,0.12,35,24.06,27.65,22.2,4.98
366,-20.5,-29.32,49,7,44.02,0.11,37,25,28.02,23.42,4
367,-31.67,29.43,86,9.27,36.39,0.32,35,23.04,26.13,21.43,4.07
368,-29.59,31.03,94,9.7,37.97,0.31,35,23.26,26.6,21.28,4.97
369,-32.72,151.29,226,15.03,37.87,0.18,35,20.2,23.9,17.44,6
370,-31.28,159.09,158,12.57,38.97,0.17,35,21.11,24.77,19.19,5
371,32.42,-117.7,209,14.46,38.79,0.36,33,17.13,21.1,15.02,5.51
372,9.77,-65.48,171,13.08,48.25,0.31,37,27,29.61,26.02,3.25
373,22.2,114.15,78,8.83,35.65,0.15,34,24.58,30.02,19.08,10.44
374,13.5,144.75,119,10.91,45.25,0.1,34,28.01,30.13,27.52,2.01
375,7.36,143.21,192,13.86,43.07,0.11,33,29,30.14,28.44,1
376,-40.97,173.11,141,11.87,34.35,0.32,34,14.93,19.14,12.01,6.62
377,-44,-176.5,139,11.79,29.42,0.48,34,12.7,15.85,10.92,4.27
378,-34.15,172.17,102,10.1,37.71,0.21,35,17.37,20.8,15.43,4.87
379,15.32,-61.18,84,9.17,45.59,0.09,34.06,27.26,29.67,26.54,2.93
380,12.4,-81.47,57,7.55,42.47,0.08,35,28,29.52,27.05,2
381,12.17,-81.85,55,7.42,41.78,0.08,35,28,29.61,27.13,2
382,14.27,-80.33,51,7.14,43.27,0.09,35,27.89,29.54,26.77,2
383,13.57,-80.07,50,7.07,43.33,0.09,35,27.63,29.55,26.76,2.01
384,27.5,-82.47,116,10.77,41.58,0.09,35,24.03,31.16,17.78,12.88
385,17.08,-61.25,88,9.38,44.99,0.07,35,27.01,29.43,26.21,3
386,-23.15,-44.23,72,8.49,39,0.26,35,23.93,27.15,22.04,4.63
387,-12.43,130.85,54,7.35,46.64,0.21,34,29.11,32.44,25.79,6.08
388,20.6,92.33,64,8,41,0.22,30.32,28.18,30.9,25.13,5.33
389,34.24,-77.79,159,12.61,36.12,0.1,34.55,21.27,28.29,14.51,13.29
390,32.73,-79.81,74,8.6,37.58,0.13,33.89,21.6,28.75,14.81,13.47
391,31.12,-81.24,70,8.37,38.78,0.18,33.46,22.17,29.04,15.81,12.78
392,29.21,-80.88,22,4.69,39.48,0.13,35.53,24.33,29.19,20.73,7.92
393,17.9,-77.16,118,10.86,44.14,0.09,35,28.04,30.01,27,2.45
394,19.32,-80.32,76,8.72,44.09,0.11,35.91,28,30.3,26.53,3.01
395,6.95,158.21,111,10.54,42.99,0.17,34,29,30.29,28.57,1.07
396,-33.91,-53.67,25,5,37.4,0.57,33,17.98,23.82,12.8,10.45
397,-34.42,-55.8,14,3.74,36.25,0.74,30,18,24.07,12.28,11.25
398,55.06,-6.8,104,10.2,28.06,0.46,34.04,10.32,14.9,7.36,6.87
399,36.17,126.44,209,14.46,32.57,0.42,32,14.26,26.59,5.08,20.96
400,54.76,-5.9,180,13.42,28.41,0.59,33.44,10.51,14.74,7.31,6.78
401,54.23,-5.78,184,13.56,28.98,0.56,34,10.9,15.34,7.38,7.46
402,-30.25,-178.5,108,10.39,39,0.15,35,20.05,23.78,18.06,5.09
403,-28.5,113.82,172,13.11,42.28,0.12,35,21.8,24.2,20.17,3.55
404,8.21,-80.1,56,7.48,43.07,0.32,31,27.84,29.66,26,3.14
405,4.66,-4.87,54,7.35,43.26,0.15,34.17,27,28.99,24.64,3.99
406,52.13,4.45,171,13.08,31,1.17,32.29,11.42,19.47,5.24,13.76
407,9.94,-82.88,104,10.2,37.48,0.07,35,28.69,30.13,27.84,1.82
409,23.2,-106.38,31,5.57,44.62,0.47,34,26.4,31.47,22.39,8.56
410,40.68,-124.04,164,12.81,32.41,0.71,32,10.89,12.94,10.44,1.96
412,39.24,-123.68,164,12.81,33.89,0.73,32.62,11.54,13.67,10.86,2.24
413,38.34,-122.91,163,12.77,34.71,0.74,33,11.87,14.16,10.73,2.97
414,37.83,-122.39,168,12.96,35.34,0.73,33,12.78,15.82,11.16,4.19
415,37.31,-122.27,169,13,34.68,0.69,33,12.79,15.16,11.38,3.18
416,36.82,-121.86,169,13,35.68,0.67,33,12.96,15.29,11.8,3.04
417,35.92,-121.29,199,14.11,36.82,0.61,33,12.97,15.51,11.75,3.09
418,34.98,-120.72,174,13.19,37,0.54,33,13.5,16.12,12.08,3.39
419,34.41,-119.82,183,13.53,39.46,0.46,33,14.78,18.25,13.11,4.7
420,34.17,-119.22,172,13.11,39.48,0.42,33,16.03,20.08,14.2,5.34
421,33.78,-118.64,181,13.45,39.67,0.39,33,16.78,20.84,14.59,5.83
422,33.01,-118.23,197,14.04,39.36,0.37,33,17,21.12,14.81,5.72
